Movies,Lexicon,Sentence,Flesch,Flesch-Kincaid,Approx Grade Level
Dumbo,21.87136364,1.501818182,70.40076364,7.398,
Shazam,23.68558593,1.725388851,69.16047145,7.450048305,
Pet Semetary,21.14845302,1.612262276,70.51195572,7.006273063,
The Haunting of Sharon Tate,22.27407407,1.607407407,59.31281481,8.871111111,
The Best of Enemies,24.63464002,1.695874968,50.60996925,10.22513451,
Hellboy,24.76705616,1.749151904,70.08281757,7.45248775,
Missing Link,29.28694158,1.879725086,67.88793814,8.215979381,
The Curse of La Llorona,9.860346296,0.7221118365,44.71434573,2.784303151,
Breakthrough,22.68762027,1.710711995,67.29374599,7.559204618,
Little Woods,26.90222222,1.777777778,70.29577778,7.711111111,